"LF Brook Continental European I Acc","GB00B4Z7BS85","Europe Excluding UK","21087.204750","22.667000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","","","","103.274318","72.540309","128.946472","84.729567","146.748257","74.127850","","",""
"JPM Europe (ex-UK) Sust Eq C Net Acc","GB00B235HP90","Europe Excluding UK","48768.617340","150.077000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","103.042625","101.958567","106.394417","103.824498","104.039603","84.069710","","",""
"JPM Europe Dynamic (ex-UK) C Net Acc","GB00B845HL62","Europe Excluding UK","26270.759420","125.153000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","103.013676","100.729949","104.480533","94.763063","94.052485","73.704698","","",""
"CT European Select Z Acc GBP","GB00B8BC5H23","Europe Excluding UK","46058.176770","241.941000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","102.722869","95.239367","103.068616","108.854195","118.977528","131.096548","","",""
"JOHCM Continental European A GBP","IE0033009121","Europe Excluding UK","49976.772920","164.848000","Large Blend","Large Blend","Large Value","Large Value","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","102.471813","98.117542","106.006604","93.657361","101.739394","85.141710","","",""
"Man GLG Continental Eurp Gr Prf Acc C","GB00B0119487","Europe Excluding UK","59719.234840","274.560000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","102.163592","102.777363","95.366747","105.132730","94.073625","112.752674","","",""
"Royal London European Growth M Acc","GB00B52VBP79","Europe Excluding UK","56367.330380","158.740000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","102.124770","97.243124","101.809215","96.549113","106.346833","94.141280","","",""
"AXAWF Fram Sust Eurozone F Cap EUR","LU0389657197","Europe Excluding UK","45290.403170","176.212000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","101.846383","109.407792","101.979653","106.115484","103.767079","96.767196","","",""
"L&G European Equity Income I Acc","GB00BF18C898","Europe Excluding UK","23173.560490","73.584000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","","Large Value","Large Value","101.794792","104.716610","103.081002","91.864832","103.378190","80.808910","","",""
"Scottish Widows Eurp Sel Gr A","GB0031610784","Europe Excluding UK","12390.978640","134.043000","Large Blend","Mid Blend","Mid Value","Mid Value","Mid Value","Large Blend","Large Value","Mid Blend","Large Blend","Mid Blend","Mid Blend","Mid Blend","101.670297","95.157333","91.517455","99.408828","87.732143","94.925062","","",""
"Janus Henderson European Focus I Acc","GB00B54J0L85","Europe Excluding UK","39647.219660","157.146000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","101.262650","89.192453","101.618890","89.907488","105.393271","85.077608","","",""
